Designation,Weight,d,bf,tf,tw,r1,d1,d1/tw,(bf-tw)/2tf,Ag,Ix,Zx,Sx,rx,Iy,Zy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex,Compact_y,Zey
uc310158,158,327,311,25,15.7,16.5,277,17.7,5.91,20100,388000000,2370000,2680000,139,125000000,807000,1230000,78.9,3810000,2.86E+12,280,300,1,C,2680000,C,1210000
uc310137,137,321,309,21.7,13.8,16.5,277,20.1,6.8,17500,329000000,2050000,2300000,137,107000000,691000,1050000,78.2,2520000,2.39E+12,280,300,1,C,2300000,C,1040000
uc310118,118,315,307,18.7,11.9,16.5,277,23.3,7.89,15000,277000000,1760000,1960000,136,90200000,588000,893000,77.5,1630000,1.98E+12,280,300,1,C,1960000,C,882000
uc31096,96.8,308,305,15.4,9.9,16.5,277,28,9.58,12400,223000000,1450000,1600000,134,72900000,478000,725000,76.7,928000,1.56E+12,300,320,1,N,1560000,N,694000
uc25089,89.5,260,256,17.3,10.5,14,225,21.5,7.1,11400,143000000,1100000,1230000,112,48400000,378000,575000,65.2,1040000,7.13E+11,280,320,1,C,1230000,C,567000
uc25072,72.9,254,254,14.2,8.6,14,225,26.2,8.64,9320,114000000,897000,992000,111,38800000,306000,463000,64.5,586000,5.57E+11,300,320,1,N,986000,N,454000
uc20059,59.5,210,205,14.2,9.3,11.4,181,19.5,6.89,7620,61300000,584000,656000,89.7,20400000,199000,303000,51.7,477000,1.95E+11,300,320,1,C,656000,C,299000
uc20052,52.2,206,204,12.5,8,11.4,181,22.7,7.84,6660,52800000,512000,570000,89.1,17700000,174000,264000,51.5,325000,1.66E+11,300,320,1,C,570000,C,260000
uc20046,46.2,203,203,11,7.3,11.4,181,24.8,8.9,5900,45900000,451000,500000,88.2,15300000,151000,230000,51,228000,1.42E+11,300,320,1,N,494000,N,223000
uc15037,37.2,162,154,11.5,8.1,8.9,139,17.1,6.34,4730,22200000,274000,310000,68.4,7010000,91000,139000,38.5,197000,39600000000,300,320,1,C,310000,C,137000
uc15030,30,158,153,9.4,6.6,8.9,139,21,7.79,3860,17600000,223000,250000,67.5,5620000,73400,112000,38.1,109000,30800000000,320,320,1,C,250000,C,110000
uc15023,23.4,152,152,6.8,6.1,8.9,139,22.8,10.7,2980,12600000,166000,184000,65.1,3980000,52400,80200,36.6,50200,21100000000,320,320,1,N,176000,N,73500
uc10014,14.8,97,99,7,5,10,83,16.6,6.71,1890,3180000,65600,74400,41.1,1140000,22900,35200,24.5,34900,2300000000,320,320,1,C,74400,C,34400
