Designation,Weight,d,bf,tf,tw,r1,d1,d1/tw,(bf-tw)/2tf,Ag,Ix,Zx,Sx,rx,Iy,Sy,ry,J,Iw,fy,fy,kf,Compact_x,Zex
pfc380,55.2,380,100,17.5,10,14,345,34.5,5.14,7030,152000000,798000,946000,147,6480000,161000,30.4,472000,1.51E+11,280,320,1,N/A,946000
pfc300,40.1,300,90,16,8,14,268,33.5,5.13,5110,72400000,483000,564000,119,4040000,117000,28.1,290000,58200000000,300,320,1,N/A,564000
pfc250,35.5,250,90,15,8,12,220,27.5,5.47,4520,45100000,361000,421000,99.9,3640000,107000,28.4,238000,35900000000,300,320,1,N/A,421000
pfc230,25.1,230,75,12,6.5,12,206,31.7,5.71,3200,26800000,233000,271000,91.4,1760000,61000,23.5,108000,15000000000,300,320,1,N/A,271000
pfc200,22.9,200,75,12,6,12,176,29.3,5.75,2920,19100000,191000,221000,80.9,1650000,58900,23.8,101000,10600000000,300,320,1,N/A,221000
pfc180,20.9,180,75,11,6,12,158,26.3,6.27,2660,14100000,157000,182000,72.9,1510000,53800,23.8,81400,7820000000,300,320,1,N/A,182000
pfc150,17.7,150,75,9.5,6,10,131,21.8,7.26,2250,8340000,111000,129000,60.8,1290000,46000,23.9,54900,4590000000,320,320,1,N/A,129000
pfc125,11.9,125,65,7.5,4.7,8,110,23.4,8.04,1520,3970000,63500,73000,51.1,658000,27200,20.8,23100,1640000000,320,320,1,N/A,72800
pfc100,8.33,100,50,6.7,4.2,8,86.6,20.6,6.84,1060,1740000,34700,40300,40.4,267000,14400,15.9,13200,424000000,320,320,1,N/A,40300
pfc75,5.92,75,40,6.1,3.8,8,62.8,16.5,5.94,754,683000,18200,21400,30.1,120000,8200,12.6,8130,106000000,320,320,1,N/A,21400
